model_label,condition,drift_strength,auc_mean,auc_std,brier_mean
Boosted Trees,episode_norm,1.0,0.623,0.016,0.259
Boosted Trees,global_norm,1.0,0.654,0.008,0.274
Boosted Trees,leak_free,1.0,0.654,0.008,0.274
Logistic Regression,episode_norm,1.0,0.641,0.014,0.231
Logistic Regression,global_norm,1.0,0.445,0.148,0.267
Logistic Regression,leak_free,1.0,0.445,0.147,0.268
Random Forest,episode_norm,1.0,0.624,0.01,0.236
Random Forest,global_norm,1.0,0.596,0.082,0.277
Random Forest,leak_free,1.0,0.596,0.082,0.277
