seed,replicate,model_name,model_label,condition,drift_strength,auc,brier,event_rate,n_obs
90000,0,logistic,Logistic Regression,leak_free,1.0,0.5459536906229022,0.25873084954031533,0.5110759493670886,632
90000,0,logistic,Logistic Regression,global_norm,1.0,0.5461340386946808,0.25853265678360693,0.5110759493670886,632
90000,0,logistic,Logistic Regression,episode_norm,1.0,0.6486619175007764,0.2353092954550831,0.5110759493670886,632
90001,1,logistic,Logistic Regression,leak_free,1.0,0.38295868894498536,0.2690911327130011,0.6143790849673203,459
90001,1,logistic,Logistic Regression,global_norm,1.0,0.3828384821893657,0.2691539425066903,0.6143790849673203,459
90001,1,logistic,Logistic Regression,episode_norm,1.0,0.6328084305004608,0.22739546765079388,0.6143790849673203,459
90002,2,logistic,Logistic Regression,leak_free,1.0,0.6055694382637866,0.24343378763250945,0.45979381443298967,485
90002,2,logistic,Logistic Regression,global_norm,1.0,0.6054325129223291,0.24335097755546292,0.45979381443298967,485
90002,2,logistic,Logistic Regression,episode_norm,1.0,0.6288980933146202,0.23676496353981222,0.45979381443298967,485
90003,3,logistic,Logistic Regression,leak_free,1.0,0.6527735143308663,0.24587967105606892,0.43645484949832775,598
90003,3,logistic,Logistic Regression,global_norm,1.0,0.652750775947338,0.24584894615375755,0.43645484949832775,598
90003,3,logistic,Logistic Regression,episode_norm,1.0,0.5330445558625238,0.2548662247766677,0.43645484949832775,598
90004,4,logistic,Logistic Regression,leak_free,1.0,0.5916703610659574,0.24470633662330563,0.46935201401050786,571
90004,4,logistic,Logistic Regression,global_norm,1.0,0.5917319343874686,0.2447049050129904,0.46935201401050786,571
90004,4,logistic,Logistic Regression,episode_norm,1.0,0.5681247229200532,0.2462763428346469,0.46935201401050786,571
90005,5,logistic,Logistic Regression,leak_free,1.0,0.6688142788806506,0.23873257349054658,0.5670498084291188,522
90005,5,logistic,Logistic Regression,global_norm,1.0,0.6688142788806506,0.2385566756131367,0.5670498084291188,522
90005,5,logistic,Logistic Regression,episode_norm,1.0,0.6651967232719446,0.22868932675872716,0.5670498084291188,522
90006,6,logistic,Logistic Regression,leak_free,1.0,0.6962528078415356,0.21960995721133758,0.4704944178628389,627
90006,6,logistic,Logistic Regression,global_norm,1.0,0.6960077598529711,0.21954401873268406,0.4704944178628389,627
90006,6,logistic,Logistic Regression,episode_norm,1.0,0.6532570961813355,0.2323717203208385,0.4704944178628389,627
90007,7,logistic,Logistic Regression,leak_free,1.0,0.6464615203230465,0.24432683698529406,0.5047984644913628,521
90007,7,logistic,Logistic Regression,global_norm,1.0,0.6463878326996197,0.24429589221118592,0.5047984644913628,521
90007,7,logistic,Logistic Regression,episode_norm,1.0,0.5304772010493117,0.25612946615063564,0.5047984644913628,521
90008,8,logistic,Logistic Regression,leak_free,1.0,0.5535055350553506,0.2509885438369591,0.4721254355400697,574
90008,8,logistic,Logistic Regression,global_norm,1.0,0.553322859961273,0.25095227727107194,0.4721254355400697,574
90008,8,logistic,Logistic Regression,episode_norm,1.0,0.5583525142182115,0.25199034592372915,0.4721254355400697,574
90009,9,logistic,Logistic Regression,leak_free,1.0,0.3780965700596812,0.2890590288454455,0.5223048327137546,538
90009,9,logistic,Logistic Regression,global_norm,1.0,0.37797194566376335,0.289033336398323,0.5223048327137546,538
90009,9,logistic,Logistic Regression,episode_norm,1.0,0.6170707728097261,0.24534873080661848,0.5223048327137546,538
91000,0,random_forest,Random Forest,leak_free,1.0,0.5741042916798259,0.269114287080657,0.6452905811623246,499
91000,0,random_forest,Random Forest,global_norm,1.0,0.5740955188265431,0.269114287080657,0.6452905811623246,499
91000,0,random_forest,Random Forest,episode_norm,1.0,0.6238112783801804,0.23071530155899483,0.6452905811623246,499
91001,1,random_forest,Random Forest,leak_free,1.0,0.603265833692374,0.2910666839057788,0.565843621399177,486
91001,1,random_forest,Random Forest,global_norm,1.0,0.6032572167169323,0.29106668390577883,0.565843621399177,486
91001,1,random_forest,Random Forest,episode_norm,1.0,0.6408186126669538,0.2395307750442139,0.565843621399177,486
91002,2,random_forest,Random Forest,leak_free,1.0,0.6020546947102541,0.29197369149950536,0.4075342465753425,584
91002,2,random_forest,Random Forest,global_norm,1.0,0.6020668382960119,0.29197369149950536,0.4075342465753425,584
91002,2,random_forest,Random Forest,episode_norm,1.0,0.6140404138534027,0.23769450403447107,0.4075342465753425,584
91003,3,random_forest,Random Forest,leak_free,1.0,0.42712947582133626,0.3208967899137057,0.48896434634974534,589
91003,3,random_forest,Random Forest,global_norm,1.0,0.42712947582133626,0.3208967899137057,0.48896434634974534,589
91003,3,random_forest,Random Forest,episode_norm,1.0,0.5451504245108896,0.2714879169811611,0.48896434634974534,589
91004,4,random_forest,Random Forest,leak_free,1.0,0.5777417135335646,0.2688222313597597,0.528957528957529,518
91004,4,random_forest,Random Forest,global_norm,1.0,0.5777417135335646,0.2688222313597597,0.528957528957529,518
91004,4,random_forest,Random Forest,episode_norm,1.0,0.5819372980734714,0.2603582075785858,0.528957528957529,518
91005,5,random_forest,Random Forest,leak_free,1.0,0.5845211106372472,0.29744785671743956,0.5008375209380235,597
91005,5,random_forest,Random Forest,global_norm,1.0,0.5845267221835649,0.29744785671743956,0.5008375209380235,597
91005,5,random_forest,Random Forest,episode_norm,1.0,0.7035139503041459,0.22075757662706616,0.5008375209380235,597
91006,6,random_forest,Random Forest,leak_free,1.0,0.6433726262566876,0.2493290098948847,0.5561904761904762,525
91006,6,random_forest,Random Forest,global_norm,1.0,0.6433726262566876,0.24932900989488477,0.5561904761904762,525
