model_label,n_episodes,ar_coef,total_features,grouped_auc_mean,random_auc_mean,delta_cv_mean,delta_cv_std,n_eff_mean,event_rate_mean
Logistic Regression,20,0.6,20,0.49,0.602,0.112,0.05,49.094,0.475
Logistic Regression,20,0.6,100,0.559,0.593,0.034,0.057,42.879,0.486
Logistic Regression,20,0.9,5,0.65,0.729,0.079,0.006,47.778,0.55
Logistic Regression,20,0.9,20,0.601,0.633,0.032,0.031,52.191,0.443
Logistic Regression,20,0.9,100,0.484,0.527,0.043,0.022,55.526,0.414
Logistic Regression,50,0.0,5,0.691,0.714,0.023,0.008,92.993,0.452
Logistic Regression,50,0.0,20,0.672,0.699,0.027,0.009,88.348,0.462
Logistic Regression,50,0.0,100,0.571,0.589,0.018,0.001,97.601,0.452
Logistic Regression,50,0.6,5,0.632,0.655,0.023,0.0,121.062,0.446
Logistic Regression,50,0.6,20,0.663,0.669,0.006,0.005,103.525,0.444
Logistic Regression,50,0.6,100,0.562,0.577,0.016,0.02,119.535,0.462
Logistic Regression,50,0.9,5,0.574,0.627,0.053,0.027,118.759,0.409
Logistic Regression,50,0.9,20,0.692,0.73,0.038,0.015,88.718,0.397
Logistic Regression,50,0.9,100,0.595,0.658,0.063,0.012,129.502,0.436
Logistic Regression,100,0.0,5,0.68,0.678,-0.002,0.002,211.458,0.472
Logistic Regression,100,0.0,20,0.629,0.631,0.002,0.022,225.414,0.446
Logistic Regression,100,0.0,100,0.625,0.625,-0.0,0.004,215.001,0.418
Logistic Regression,100,0.6,5,0.642,0.653,0.011,0.002,212.05,0.497
Logistic Regression,100,0.6,20,0.605,0.633,0.028,0.037,231.4,0.501
Logistic Regression,100,0.6,100,0.613,0.615,0.002,0.003,221.194,0.489
Logistic Regression,100,0.9,5,0.616,0.624,0.008,0.005,218.521,0.426
Logistic Regression,100,0.9,20,0.582,0.593,0.011,0.0,244.777,0.47
Logistic Regression,100,0.9,100,0.624,0.638,0.015,0.016,241.263,0.447
Random Forest,20,0.0,5,0.658,0.819,0.162,0.06,40.538,0.483
Random Forest,20,0.0,20,0.587,0.666,0.079,0.014,46.209,0.535
Random Forest,20,0.0,100,0.522,0.599,0.076,0.003,48.679,0.468
Random Forest,20,0.6,5,0.429,0.727,0.298,0.122,52.173,0.412
Random Forest,20,0.6,20,0.56,0.739,0.18,0.136,47.658,0.494
Random Forest,20,0.6,100,0.522,0.595,0.074,0.021,55.663,0.422
Random Forest,20,0.9,5,0.391,0.841,0.45,0.098,36.638,0.515
Random Forest,20,0.9,20,0.543,0.668,0.125,0.048,69.734,0.551
Random Forest,20,0.9,100,0.633,0.751,0.119,0.002,28.624,0.293
Random Forest,50,0.0,5,0.518,0.773,0.255,0.007,98.317,0.402
Random Forest,50,0.0,20,0.509,0.677,0.168,0.02,115.665,0.497
Random Forest,50,0.0,100,0.489,0.581,0.092,0.091,106.869,0.524
Random Forest,50,0.6,5,0.476,0.777,0.302,0.012,116.761,0.517
Random Forest,50,0.6,20,0.616,0.671,0.055,0.019,117.389,0.494
Random Forest,50,0.6,100,0.53,0.636,0.106,0.042,120.055,0.497
Random Forest,50,0.9,5,0.585,0.815,0.23,0.052,111.66,0.464
Random Forest,50,0.9,20,0.663,0.786,0.123,0.019,96.406,0.467
Random Forest,50,0.9,100,0.62,0.693,0.073,0.028,118.314,0.497
Random Forest,100,0.0,5,0.544,0.737,0.192,0.084,207.781,0.505
Random Forest,100,0.0,20,0.572,0.657,0.085,0.006,197.088,0.424
Random Forest,100,0.0,100,0.618,0.683,0.065,0.011,186.534,0.478
Random Forest,100,0.6,5,0.617,0.778,0.161,0.019,213.686,0.433
Random Forest,100,0.6,20,0.618,0.729,0.111,0.02,184.771,0.499
Random Forest,100,0.6,100,0.6,0.665,0.065,0.018,205.443,0.446
Random Forest,100,0.9,5,0.619,0.819,0.2,0.013,237.034,0.487
Random Forest,100,0.9,20,0.583,0.677,0.094,0.01,202.039,0.473
Random Forest,100,0.9,100,0.604,0.666,0.061,0.042,217.93,0.447
