model_label,n_episodes,ar_coef,total_features,grouped_auc_mean,random_auc_mean,delta_cv_mean,delta_cv_std,n_eff_mean,event_rate_mean
Boosted Trees,20,0.0,5,0.609,0.781,0.172,0.191,46.65,0.532
Boosted Trees,20,0.0,20,0.562,0.738,0.176,0.021,38.075,0.475
Boosted Trees,20,0.0,100,0.458,0.635,0.177,0.09,54.131,0.523
Boosted Trees,20,0.6,5,0.507,0.788,0.282,0.153,44.998,0.578
Boosted Trees,20,0.6,20,0.544,0.826,0.282,0.299,36.692,0.506
Boosted Trees,20,0.6,100,0.456,0.658,0.202,0.031,41.327,0.552
Boosted Trees,20,0.9,5,0.615,0.833,0.219,0.096,49.012,0.497
Boosted Trees,20,0.9,20,0.582,0.798,0.217,0.049,37.777,0.384
Boosted Trees,20,0.9,100,0.451,0.72,0.269,0.049,49.985,0.517
Boosted Trees,50,0.0,5,0.54,0.798,0.258,0.205,113.56,0.522
Boosted Trees,50,0.0,20,0.693,0.799,0.106,0.058,100.655,0.439
Boosted Trees,50,0.0,100,0.503,0.659,0.156,0.066,124.471,0.434
Boosted Trees,50,0.6,5,0.62,0.867,0.247,0.111,98.96,0.521
Boosted Trees,50,0.6,20,0.542,0.789,0.246,0.039,105.768,0.425
Boosted Trees,50,0.6,100,0.601,0.714,0.113,0.051,111.421,0.41
Boosted Trees,50,0.9,5,0.594,0.847,0.253,0.025,101.24,0.451
Boosted Trees,50,0.9,20,0.555,0.778,0.224,0.073,120.34,0.517
Boosted Trees,50,0.9,100,0.663,0.773,0.11,0.009,108.14,0.539
Boosted Trees,100,0.0,5,0.552,0.793,0.241,0.086,222.492,0.427
Boosted Trees,100,0.0,20,0.639,0.762,0.122,0.031,206.357,0.476
Boosted Trees,100,0.0,100,0.58,0.688,0.109,0.003,241.537,0.462
Boosted Trees,100,0.6,5,0.552,0.868,0.316,0.061,175.038,0.492
Boosted Trees,100,0.6,20,0.559,0.778,0.219,0.083,217.79,0.406
Boosted Trees,100,0.6,100,0.541,0.681,0.14,0.064,227.155,0.439
Boosted Trees,100,0.9,5,0.615,0.841,0.226,0.049,223.485,0.46
Boosted Trees,100,0.9,20,0.554,0.74,0.186,0.031,244.66,0.478
Boosted Trees,100,0.9,100,0.588,0.769,0.18,0.027,207.469,0.539
Logistic Regression,20,0.0,5,0.516,0.636,0.121,0.08,31.916,0.426
Logistic Regression,20,0.0,20,0.582,0.623,0.041,0.006,60.498,0.512
Logistic Regression,20,0.0,100,0.513,0.527,0.014,0.013,55.995,0.436
Logistic Regression,20,0.6,5,0.539,0.566,0.027,0.011,42.408,0.44
