model_label,n_episodes,mean,std,count
Boosted Trees,20,0.20347681929482103,0.10258644592444338,90
Boosted Trees,50,0.2051821989430992,0.07549951347911096,90
Boosted Trees,100,0.19038706657561183,0.06289023901885478,90
Logistic Regression,20,0.04709079402452486,0.04874963633417332,90
Logistic Regression,50,0.02900620582989441,0.032170336380155345,90
Logistic Regression,100,0.011804074741736335,0.013332266114520193,90
Random Forest,20,0.17723643866381744,0.1214063333226562,90
Random Forest,50,0.1503632897155205,0.08681248755480665,90
Random Forest,100,0.1165023975771047,0.07088788747563748,90
