seed,replicate,model_name,model_label,condition,drift_strength,auc,brier,event_rate,n_obs
90000,0,logistic,Logistic Regression,leak_free,1.0,0.5459536906229022,0.25873084954031533,0.5110759493670886,632
90000,0,logistic,Logistic Regression,global_norm,1.0,0.5461340386946808,0.25853265678360693,0.5110759493670886,632
90000,0,logistic,Logistic Regression,episode_norm,1.0,0.6486619175007764,0.2353092954550831,0.5110759493670886,632
90001,1,logistic,Logistic Regression,leak_free,1.0,0.38295868894498536,0.2690911327130011,0.6143790849673203,459
90001,1,logistic,Logistic Regression,global_norm,1.0,0.3828384821893657,0.2691539425066903,0.6143790849673203,459
90001,1,logistic,Logistic Regression,episode_norm,1.0,0.6328084305004608,0.22739546765079388,0.6143790849673203,459
90002,2,logistic,Logistic Regression,leak_free,1.0,0.6055694382637866,0.24343378763250945,0.45979381443298967,485
90002,2,logistic,Logistic Regression,global_norm,1.0,0.6054325129223291,0.24335097755546292,0.45979381443298967,485
90002,2,logistic,Logistic Regression,episode_norm,1.0,0.6288980933146202,0.23676496353981222,0.45979381443298967,485
90003,3,logistic,Logistic Regression,leak_free,1.0,0.6527735143308663,0.24587967105606892,0.43645484949832775,598
90003,3,logistic,Logistic Regression,global_norm,1.0,0.652750775947338,0.24584894615375755,0.43645484949832775,598
90003,3,logistic,Logistic Regression,episode_norm,1.0,0.5330445558625238,0.2548662247766677,0.43645484949832775,598
90004,4,logistic,Logistic Regression,leak_free,1.0,0.5916703610659574,0.24470633662330563,0.46935201401050786,571
90004,4,logistic,Logistic Regression,global_norm,1.0,0.5917319343874686,0.2447049050129904,0.46935201401050786,571
90004,4,logistic,Logistic Regression,episode_norm,1.0,0.5681247229200532,0.2462763428346469,0.46935201401050786,571
90005,5,logistic,Logistic Regression,leak_free,1.0,0.6688142788806506,0.23873257349054658,0.5670498084291188,522
90005,5,logistic,Logistic Regression,global_norm,1.0,0.6688142788806506,0.2385566756131367,0.5670498084291188,522
90005,5,logistic,Logistic Regression,episode_norm,1.0,0.6651967232719446,0.22868932675872716,0.5670498084291188,522
90006,6,logistic,Logistic Regression,leak_free,1.0,0.6962528078415356,0.21960995721133758,0.4704944178628389,627
90006,6,logistic,Logistic Regression,global_norm,1.0,0.6960077598529711,0.21954401873268406,0.4704944178628389,627
90006,6,logistic,Logistic Regression,episode_norm,1.0,0.6532570961813355,0.2323717203208385,0.4704944178628389,627
90007,7,logistic,Logistic Regression,leak_free,1.0,0.6464615203230465,0.24432683698529406,0.5047984644913628,521
90007,7,logistic,Logistic Regression,global_norm,1.0,0.6463878326996197,0.24429589221118592,0.5047984644913628,521
90007,7,logistic,Logistic Regression,episode_norm,1.0,0.5304772010493117,0.25612946615063564,0.5047984644913628,521
90008,8,logistic,Logistic Regression,leak_free,1.0,0.5535055350553506,0.2509885438369591,0.4721254355400697,574
90008,8,logistic,Logistic Regression,global_norm,1.0,0.553322859961273,0.25095227727107194,0.4721254355400697,574
90008,8,logistic,Logistic Regression,episode_norm,1.0,0.5583525142182115,0.25199034592372915,0.4721254355400697,574
90009,9,logistic,Logistic Regression,leak_free,1.0,0.3780965700596812,0.2890590288454455,0.5223048327137546,538
90009,9,logistic,Logistic Regression,global_norm,1.0,0.37797194566376335,0.289033336398323,0.5223048327137546,538
90009,9,logistic,Logistic Regression,episode_norm,1.0,0.6170707728097261,0.24534873080661848,0.5223048327137546,538
90010,10,logistic,Logistic Regression,leak_free,1.0,0.6521550992703207,0.2287615207048316,0.4062947067238913,699
90010,10,logistic,Logistic Regression,global_norm,1.0,0.6522738842694722,0.22871927004386453,0.4062947067238913,699
90010,10,logistic,Logistic Regression,episode_norm,1.0,0.5899881215000848,0.23752790490220543,0.4062947067238913,699
90011,11,logistic,Logistic Regression,leak_free,1.0,0.2770003653635367,0.3071685413009947,0.5085470085470085,468
90011,11,logistic,Logistic Regression,global_norm,1.0,0.27658019729630984,0.30712240624833564,0.5085470085470085,468
90011,11,logistic,Logistic Regression,episode_norm,1.0,0.5969674826452319,0.24461627840835068,0.5085470085470085,468
90012,12,logistic,Logistic Regression,leak_free,1.0,0.6614841939755047,0.2360168088792762,0.4887459807073955,622
90012,12,logistic,Logistic Regression,global_norm,1.0,0.6611118007282358,0.23608572556824242,0.4887459807073955,622
90012,12,logistic,Logistic Regression,episode_norm,1.0,0.5473973849718635,0.2557890877645521,0.4887459807073955,622
90013,13,logistic,Logistic Regression,leak_free,1.0,0.7047034428580564,0.22006182026941237,0.4050445103857567,674
90013,13,logistic,Logistic Regression,global_norm,1.0,0.7045298840810063,0.2199430629687776,0.4050445103857567,674
90013,13,logistic,Logistic Regression,episode_norm,1.0,0.7153636056379198,0.20833763387623855,0.4050445103857567,674
90014,14,logistic,Logistic Regression,leak_free,1.0,0.4718820861678005,0.26095119196033284,0.4444444444444444,567
90014,14,logistic,Logistic Regression,global_norm,1.0,0.4720710506424792,0.2609358413343198,0.4444444444444444,567
90014,14,logistic,Logistic Regression,episode_norm,1.0,0.5960191484001007,0.2444268879152549,0.4444444444444444,567
90015,15,logistic,Logistic Regression,leak_free,1.0,0.8686958234830575,0.15368969848603645,0.5662650602409639,498
90015,15,logistic,Logistic Regression,global_norm,1.0,0.8690077488836355,0.1531183425056545,0.5662650602409639,498
90015,15,logistic,Logistic Regression,episode_norm,1.0,0.5394175203572367,0.24741433194331758,0.5662650602409639,498
90016,16,logistic,Logistic Regression,leak_free,1.0,0.5304760594386351,0.25285893309991925,0.4952978056426332,638
90016,16,logistic,Logistic Regression,global_norm,1.0,0.5304858872552873,0.25284870624986105,0.4952978056426332,638
