seed,replicate,n_episodes,ar_coef,total_features,model_name,model_label,grouped_auc,grouped_brier,random_auc,random_brier,delta_cv,event_rate,n_obs,n_eff,rho_hat,avg_episode_size
0,0,20,0.0,5,logistic,Logistic Regression,0.7188160157209531,0.2189295079336102,0.7374846475067552,0.2041123929763687,0.018668631785802137,0.4348894348894349,407,32.95600268469191,0.5865529057843238,20.35
1,1,20,0.0,5,logistic,Logistic Regression,0.46883572567783083,0.27010032716411725,0.5347687400318979,0.24309044100449795,0.06593301435406707,0.4178272980501393,359,30.875219580189135,0.6269880631872093,17.95
2,2,20,0.0,5,logistic,Logistic Regression,0.5576563917397415,0.2508818641037271,0.5803169634122481,0.2391877404324882,0.02266057167250668,0.4372384937238494,478,63.828497493726196,0.2833544971707779,23.9
3,3,20,0.0,5,logistic,Logistic Regression,0.6058890794739851,0.23938755323265218,0.6364208118925101,0.23443775936848935,0.030531732418525026,0.5910780669144982,269,58.676687031380176,0.287907168031243,13.45
4,4,20,0.0,5,logistic,Logistic Regression,0.3283547727992172,0.2870014460308406,0.518547296325074,0.23721727574801302,0.1901925235258568,0.3704663212435233,386,52.399209595110584,0.34789744977272213,19.3
5,5,20,0.0,5,logistic,Logistic Regression,0.8304597701149425,0.1650931381416695,0.8603006189213087,0.1476154991197951,0.02984084880636617,0.4727272727272727,330,30.78800898191457,0.6269973297676105,16.5
6,6,20,0.0,5,logistic,Logistic Regression,0.6974658869395711,0.23185828343429313,0.693734335839599,0.22551125945609585,-0.0037315510999721413,0.49868073878627966,379,48.55256770329799,0.37916280385107565,18.95
7,7,20,0.0,5,logistic,Logistic Regression,0.5806295399515738,0.2435946634246683,0.5683667890338202,0.24406197348734215,-0.01226275091775364,0.423828125,512,69.34997902052524,0.2594651584036238,25.6
8,8,20,0.0,5,logistic,Logistic Regression,0.6568956611570248,0.23723728487110546,0.7149728822314049,0.21569330695286448,0.05807722107438007,0.5,352,40.886456179391196,0.4583860157994381,17.6
9,9,20,0.0,5,logistic,Logistic Regression,0.5528185582533408,0.2580785774670836,0.5686758893280632,0.24375765132671937,0.015857331074722425,0.4433734939759036,415,37.39531793166549,0.5112732145628731,20.75
1000,0,20,0.0,5,random_forest,Random Forest,0.586059877038225,0.2904232872921168,0.8501202886928629,0.16133221928414085,0.2640604116546379,0.4473007712082262,389,31.749350883188235,0.6098763683440356,19.45
1001,1,20,0.0,5,random_forest,Random Forest,0.6894077385880664,0.2371744871842657,0.7885411491968868,0.1867675850300967,0.09913341060882042,0.5196850393700787,381,49.32743097686924,0.3725150735874611,19.05
1002,2,20,0.0,5,random_forest,Random Forest,0.6296697051172755,0.25305346385938526,0.7017072157737119,0.21996586414023583,0.07203751065643638,0.48364485981308414,428,56.9484377475587,0.31939071185456414,21.4
1003,3,20,0.0,5,random_forest,Random Forest,0.5340314136125655,0.25470901973218263,0.5797659377887281,0.22969982516563145,0.04573452417616264,0.6518771331058021,293,68.04150203867924,0.24221211389122216,14.65
1004,4,20,0.0,5,random_forest,Random Forest,0.71323396567299,0.2268582296224355,0.8996160794941284,0.13073879431917385,0.18638211382113834,0.5484949832775919,299,35.09264864620054,0.539089821731925,14.95
1005,5,20,0.0,5,random_forest,Random Forest,0.6057432253274646,0.2895879161695274,0.8663095932544943,0.1480235915372492,0.2605663679270297,0.4424552429667519,391,35.03583753018744,0.5477089766788271,19.55
1006,6,20,0.0,5,random_forest,Random Forest,0.6858672313014436,0.24253597861522072,0.8086305618513658,0.17458434971281123,0.12276333054992228,0.45108695652173914,368,42.18862984642107,0.44383502039057504,18.4
1007,7,20,0.0,5,random_forest,Random Forest,0.6120283018867925,0.269951554485322,0.7605196166516921,0.20243543062379202,0.14849131476489963,0.48623853211009177,327,43.999952821967184,0.41901147559807217,16.35
1008,8,20,0.0,5,random_forest,Random Forest,0.661621666946168,0.2557352806638148,0.8201408686902565,0.16886299318207487,0.1585192017440885,0.5705128205128205,312,42.08158790472167,0.439326636488567,15.6
1009,9,20,0.0,5,random_forest,Random Forest,0.5915061949544709,0.28909688895076086,0.8240409016271085,0.17003932757925466,0.23253470667263765,0.5304878048780488,328,38.94988665296555,0.48188812580917995,16.4
2000,0,20,0.0,5,boosted_trees,Boosted Trees,0.6443783831750821,0.26328297563445535,0.6855976572899103,0.23680162622156542,0.041219274114828175,0.6181229773462783,309,60.36842420495041,0.2850221395020606,15.45
2001,1,20,0.0,5,boosted_trees,Boosted Trees,0.6584663176090387,0.28262982400867387,0.8748653455921036,0.15002149155323805,0.21639902798306487,0.44527363184079605,402,32.93134997670134,0.5867650729009607,20.1
2002,2,20,0.0,5,boosted_trees,Boosted Trees,0.726803764377832,0.2196807953385584,0.9111885674451028,0.13014470877008513,0.18438480306727079,0.6138211382113821,246,29.800987153365163,0.642014169049648,12.3
2003,3,20,0.0,5,boosted_trees,Boosted Trees,0.5497130876186272,0.3353343169240613,0.8327080114764952,0.16116408702158044,0.28299492385786795,0.5880597014925373,335,40.17096528353805,0.46599088817993906,16.75
2004,4,20,0.0,5,boosted_trees,Boosted Trees,0.686060606060606,0.06880937147037808,0.8187878787878788,0.06264574800945694,0.1327272727272728,0.9428571428571428,175,154.96380853027324,0.016683347246507427,8.75
2005,5,20,0.0,5,boosted_trees,Boosted Trees,0.5103546836429778,0.36945157431354697,0.7973236325841236,0.19124820850189192,0.2869689489411459,0.4543147208121827,394,41.41642985989277,0.45524774672544766,19.7
2006,6,20,0.0,5,boosted_trees,Boosted Trees,0.5731685542291602,0.29189224478157544,0.6403683297622692,0.25359109011711334,0.06719977553310896,0.5,396,74.06097282415942,0.23122051582820016,19.8
2007,7,20,0.0,5,boosted_trees,Boosted Trees,0.4630414312617703,0.34163452329932753,0.6857109227871938,0.2350413207774438,0.22266949152542354,0.4326923076923077,416,60.103479233444205,0.2990604202141565,20.8
2008,8,20,0.0,5,boosted_trees,Boosted Trees,0.5601768585131894,0.32618452979586204,0.8127747801758594,0.17357603019223572,0.2525979216626699,0.3412322274881517,422,37.79385322944339,0.5057630285573942,21.1
2009,9,20,0.0,5,boosted_trees,Boosted Trees,0.36127860235003095,0.47769045401616894,0.8241341991341992,0.17765624779943162,0.4628555967841682,0.5217391304347826,322,38.91638598188095,0.48173176243103544,16.1
3000,0,20,0.0,20,logistic,Logistic Regression,0.5292001692763436,0.26267188283342985,0.5663200532011365,0.2410125525644443,0.03711988392479293,0.6312997347480106,377,87.05961697479731,0.18657512262658704,18.85
3001,1,20,0.0,20,logistic,Logistic Regression,0.6443652736492393,0.2329599207367991,0.6798172757475083,0.21810601836458784,0.03545200209826893,0.3926940639269406,438,33.93708081387766,0.569676400102697,21.9
3002,2,20,0.0,20,logistic,Logistic Regression,0.29351644841903546,0.3760114442746664,0.46662408176301506,0.27124742445364314,0.1731076333439796,0.60546875,256,33.20558923252132,0.5686055481870079,12.8
3003,3,20,0.0,20,logistic,Logistic Regression,0.653400124775221,0.2308784839964059,0.6943741054717605,0.21899087265549552,0.04097398069653946,0.3883089770354906,479,50.527609937680765,0.3694974082640147,23.95
