seed,replicate,model_name,model_label,condition,drift_strength,auc,brier,event_rate,n_obs
90000,0,logistic,Logistic Regression,leak_free,1.0,0.5185950810530162,0.25550417095201866,0.5007751937984496,645
90000,0,logistic,Logistic Regression,global_norm,1.0,0.518489317923966,0.2555112143246865,0.5007751937984496,645
90000,0,logistic,Logistic Regression,episode_norm,1.0,0.6027536872872719,0.24786455928926898,0.5007751937984496,645
90001,1,logistic,Logistic Regression,leak_free,1.0,0.4277155655095185,0.27540366775863134,0.597457627118644,472
90001,1,logistic,Logistic Regression,global_norm,1.0,0.42767823814856293,0.27546980191323817,0.597457627118644,472
90001,1,logistic,Logistic Regression,episode_norm,1.0,0.6084733109369167,0.23606299179780693,0.597457627118644,472
91000,0,random_forest,Random Forest,leak_free,1.0,0.5740955188265431,0.269114287080657,0.6452905811623246,499
91000,0,random_forest,Random Forest,global_norm,1.0,0.5741042916798259,0.269114287080657,0.6452905811623246,499
91000,0,random_forest,Random Forest,episode_norm,1.0,0.6238025055268976,0.23071530155899478,0.6452905811623246,499
91001,1,random_forest,Random Forest,leak_free,1.0,0.5172458764863828,0.3340617532983974,0.537109375,512
91001,1,random_forest,Random Forest,global_norm,1.0,0.5172305331799003,0.3340617532983974,0.537109375,512
91001,1,random_forest,Random Forest,episode_norm,1.0,0.5489988492520138,0.2693728757980089,0.537109375,512
92000,0,xgboost,Boosted Trees,leak_free,1.0,0.6503560166819247,0.28251345305442116,0.4610492845786963,629
92000,0,xgboost,Boosted Trees,global_norm,1.0,0.6503560166819247,0.28251345305442116,0.4610492845786963,629
92000,0,xgboost,Boosted Trees,episode_norm,1.0,0.6081476960634727,0.26214520237589445,0.4610492845786963,629
92001,1,xgboost,Boosted Trees,leak_free,1.0,0.7015941997572394,0.24820262049392894,0.5197368421052632,608
92001,1,xgboost,Boosted Trees,global_norm,1.0,0.7015941997572394,0.24820262049392894,0.5197368421052632,608
92001,1,xgboost,Boosted Trees,episode_norm,1.0,0.6418956996705394,0.2475241622348127,0.5197368421052632,608
