model_label,n_episodes,ar_coef,total_features,grouped_auc_mean,random_auc_mean,delta_cv_mean,delta_cv_std,n_eff_mean,event_rate_mean
Random Forest,50,0.6,100,0.555,0.654,0.099,0.058,114.808,0.48
Random Forest,50,0.9,5,0.562,0.835,0.273,0.012,106.671,0.44
Random Forest,50,0.9,20,0.68,0.799,0.119,0.07,91.55,0.435
Random Forest,50,0.9,100,0.656,0.721,0.064,0.075,112.029,0.475
Random Forest,100,0.0,5,0.571,0.755,0.184,0.073,198.745,0.481
Random Forest,100,0.0,20,0.561,0.676,0.115,0.015,187.953,0.393
Random Forest,100,0.0,100,0.659,0.711,0.053,0.001,178.267,0.449
Random Forest,100,0.6,5,0.611,0.806,0.195,0.014,203.312,0.407
Random Forest,100,0.6,20,0.648,0.755,0.106,0.012,176.6,0.469
Random Forest,100,0.6,100,0.642,0.685,0.043,0.008,195.935,0.418
Random Forest,100,0.9,5,0.621,0.824,0.203,0.005,225.969,0.467
Random Forest,100,0.9,20,0.586,0.706,0.12,0.0,192.358,0.446
Random Forest,100,0.9,100,0.616,0.681,0.065,0.012,208.112,0.424
