model_label,condition,drift_strength,auc_mean,auc_std,brier_mean
Boosted Trees,episode_norm,1.0,0.598,0.058,0.264
Boosted Trees,global_norm,1.0,0.564,0.104,0.328
Boosted Trees,leak_free,1.0,0.564,0.104,0.328
Logistic Regression,episode_norm,1.0,0.626,0.053,0.235
Logistic Regression,global_norm,1.0,0.582,0.135,0.247
Logistic Regression,leak_free,1.0,0.582,0.135,0.247
Random Forest,episode_norm,1.0,0.625,0.034,0.24
Random Forest,global_norm,1.0,0.562,0.094,0.287
Random Forest,leak_free,1.0,0.562,0.094,0.287
