model_label,n_episodes,ar_coef,total_features,grouped_auc_mean,random_auc_mean,delta_cv_mean,delta_cv_std,n_eff_mean,event_rate_mean
Random Forest,50,0.6,100,0.561,0.665,0.104,0.049,104.481,0.484
Random Forest,50,0.9,5,0.572,0.849,0.277,0.008,101.746,0.441
Random Forest,50,0.9,20,0.642,0.783,0.141,0.052,97.609,0.471
Random Forest,50,0.9,100,0.649,0.726,0.077,0.067,106.997,0.48
Random Forest,100,0.0,5,0.609,0.755,0.146,0.079,213.352,0.466
Random Forest,100,0.0,20,0.565,0.695,0.13,0.035,183.696,0.421
Random Forest,100,0.0,100,0.653,0.697,0.044,0.007,199.121,0.458
Random Forest,100,0.6,5,0.626,0.807,0.181,0.019,202.098,0.416
Random Forest,100,0.6,20,0.67,0.757,0.086,0.032,182.567,0.46
Random Forest,100,0.6,100,0.66,0.703,0.043,0.008,199.454,0.41
Random Forest,100,0.9,5,0.628,0.831,0.203,0.012,216.267,0.473
Random Forest,100,0.9,20,0.57,0.689,0.119,0.007,196.323,0.45
Random Forest,100,0.9,100,0.61,0.672,0.061,0.003,216.218,0.437
