replicate,seed,episode_fingerprint,shared_event_time,split_method,model,event_prevalence,n_eligible,auroc,status,runtime_seconds
0,42,False,False,grouped,boosted_trees,0.465,600,0.5434183052512869,ok,1.6775305160554126
0,42,False,False,row_wise,boosted_trees,0.465,600,0.5452718319766858,ok,1.6844013960799202
1,43,False,False,grouped,boosted_trees,0.4666666666666667,600,0.5137109375,ok,1.514666168950498
1,43,False,False,row_wise,boosted_trees,0.4666666666666667,600,0.53890625,ok,1.5201299309264868
2,44,False,False,grouped,boosted_trees,0.48333333333333334,600,0.4982647385984427,ok,2.200058577931486
2,44,False,False,row_wise,boosted_trees,0.48333333333333334,600,0.5051612903225806,ok,2.205747394938953
3,45,False,False,grouped,boosted_trees,0.46166666666666667,600,0.5567390551128298,ok,1.4332775700604543
3,45,False,False,row_wise,boosted_trees,0.46166666666666667,600,0.5448134032256262,ok,1.440019212081097
4,46,False,False,grouped,boosted_trees,0.5466666666666666,600,0.428398493543759,ok,1.488427288015373
4,46,False,False,row_wise,boosted_trees,0.5466666666666666,600,0.4275354196556671,ok,1.494616245967336
5,47,False,False,grouped,boosted_trees,0.515,600,0.46270532368020106,ok,2.4544917800230905
5,47,False,False,row_wise,boosted_trees,0.515,600,0.4851143807204262,ok,2.5749243770260364
6,48,False,False,grouped,boosted_trees,0.5,600,0.4779,ok,2.5690982430242
6,48,False,False,row_wise,boosted_trees,0.5,600,0.48268888888888883,ok,2.57482058997266
7,49,False,False,grouped,boosted_trees,0.5133333333333333,600,0.4913938800925103,ok,1.943286199006252
7,49,False,False,row_wise,boosted_trees,0.5133333333333333,600,0.5180350471446362,ok,1.9491524120094255
8,50,False,False,grouped,boosted_trees,0.5233333333333333,600,0.5125272816355619,ok,1.6640426460653543
8,50,False,False,row_wise,boosted_trees,0.5233333333333333,600,0.49288450403100076,ok,1.6693661680910736
9,51,False,False,grouped,boosted_trees,0.49166666666666664,600,0.5829397054737426,ok,1.544548973091878
9,51,False,False,row_wise,boosted_trees,0.49166666666666664,600,0.5462183939983329,ok,1.5496380410622805
10,52,False,False,grouped,boosted_trees,0.5,600,0.5024,ok,1.6216907099587843
10,52,False,False,row_wise,boosted_trees,0.5,600,0.4920777777777777,ok,1.626579590025358
11,53,False,False,grouped,boosted_trees,0.465,600,0.5256646456525866,ok,1.4095178340794519
11,53,False,False,row_wise,boosted_trees,0.465,600,0.49310510389798906,ok,1.4157791630132124
12,54,False,False,grouped,boosted_trees,0.5,600,0.5380222222222222,ok,1.6311437919503078
12,54,False,False,row_wise,boosted_trees,0.5,600,0.5562166666666666,ok,1.6374430760042742
13,55,False,False,grouped,boosted_trees,0.4533333333333333,600,0.4720341642754663,ok,1.5207619719440117
13,55,False,False,row_wise,boosted_trees,0.4533333333333333,600,0.4539544476327116,ok,1.525640356936492
14,56,False,False,grouped,boosted_trees,0.5066666666666667,600,0.4551475817923186,ok,1.5755029279971495
14,56,False,False,row_wise,boosted_trees,0.5066666666666667,600,0.465421630512091,ok,1.579961385927163
15,57,False,False,grouped,boosted_trees,0.4766666666666667,600,0.48055765890160795,ok,1.4072358430130407
