seed,condition,auc,brier,episode_weighted_auc,episode_mean_brier,n_episodes,event_rate,n_eff,rho
42,leak_free_grouped,0.4280235564492962,0.4342044125779937,0.4721915592389309,0.33364867869565873,30,0.4444444444444444,58.3724304543515,0.4848359379302142
42,leak_free_noskill_grouped,0.4316072967538064,0.24929209008642106,0.47729857886212596,0.28144842816468413,30,0.4444444444444444,58.3724304543515,0.4848359379302142
42,leak_free_random,0.8621516805515657,0.15280011654057965,0.850732944203946,0.16362118698271894,30,0.4444444444444444,58.3724304543515,0.4848359379302142
42,norm_leak_grouped,0.4280235564492962,0.4342044125779937,0.4721915592389309,0.33364867869565873,30,0.4444444444444444,58.3724304543515,0.4848359379302142
42,explicit_leak_grouped,0.8236569951163458,0.18849227800664756,0.9085304339236164,0.1253011096929808,30,0.4444444444444444,58.3724304543515,0.4848359379302142
42,leak_free_temporal,0.8647340695608021,0.24089578910409432,0.9427227925237145,0.23486208844024026,30,0.4444444444444444,58.3724304543515,0.4848359379302142
43,leak_free_grouped,0.46476809096666816,0.3904950924369495,0.5021466658925058,0.34861658900148357,30,0.4268456375838926,71.66450423729523,0.39422360181971217
43,leak_free_noskill_grouped,0.46289750047869443,0.24526271329481705,0.4754742924427878,0.2768555954483455,30,0.4268456375838926,71.66450423729523,0.39422360181971217
43,leak_free_random,0.8099362231747013,0.1748046810844081,0.8067104709983292,0.18556606702387565,30,0.4268456375838926,71.66450423729523,0.39422360181971217
43,norm_leak_grouped,0.46476809096666816,0.3904950924369495,0.5021466658925058,0.34861658900148357,30,0.4268456375838926,71.66450423729523,0.39422360181971217
43,explicit_leak_grouped,0.7601446393589915,0.24310988376557296,0.8262054358663848,0.19671071083398262,30,0.4268456375838926,71.66450423729523,0.39422360181971217
43,leak_free_temporal,0.9049957603165631,0.23928504253332727,0.9327624805162014,0.2589680175672501,30,0.4268456375838926,71.66450423729523,0.39422360181971217
44,leak_free_grouped,0.509669768290458,0.34483421117045576,0.4984103719400501,0.2538159999859211,30,0.605427974947808,79.35850939495195,0.3364743649158511
44,leak_free_noskill_grouped,0.4016785258164569,0.24467658733717235,0.4432974191124556,0.20195051703681263,30,0.605427974947808,79.35850939495195,0.3364743649158511
44,leak_free_random,0.8179529282977558,0.16471214465524092,0.7730215020439395,0.14910239474269274,30,0.605427974947808,79.35850939495195,0.3364743649158511
44,norm_leak_grouped,0.509669768290458,0.34483421117045576,0.4984103719400501,0.2538159999859211,30,0.605427974947808,79.35850939495195,0.3364743649158511
44,explicit_leak_grouped,0.7750775405947821,0.251187154022575,0.8496974675432547,0.1626896214907001,30,0.605427974947808,79.35850939495195,0.3364743649158511
44,leak_free_temporal,0.9553617907339926,0.22546487103126792,0.9780431944261498,0.20895181733712215,30,0.605427974947808,79.35850939495195,0.3364743649158511
45,leak_free_grouped,0.553474431597734,0.32340813104002203,0.5232846867918919,0.35505790277152405,30,0.4015267175572519,66.24736382663146,0.42658492208502213
45,leak_free_noskill_grouped,0.45726313339023816,0.24122060160814646,0.49216116910217633,0.2912509709619317,30,0.4015267175572519,66.24736382663146,0.42658492208502213
45,leak_free_random,0.842438115930783,0.15969358865723476,0.7719427878288857,0.21087536927440156,30,0.4015267175572519,66.24736382663146,0.42658492208502213
45,norm_leak_grouped,0.553474431597734,0.32340813104002203,0.5232846867918919,0.35505790277152405,30,0.4015267175572519,66.24736382663146,0.42658492208502213
45,explicit_leak_grouped,0.8212151780864436,0.1754535047076186,0.8925463630854007,0.1375641216273263,30,0.4015267175572519,66.24736382663146,0.42658492208502213
45,leak_free_temporal,0.8836617100371748,0.2315545907673129,0.9249094478293858,0.26429645388049944,30,0.4015267175572519,66.24736382663146,0.42658492208502213
46,leak_free_grouped,0.6359425349087003,0.27726672437960276,0.6074052873106461,0.23252378830006531,30,0.4916387959866221,82.02313929407586,0.33225135267304995
46,leak_free_noskill_grouped,0.4290972968134622,0.25250878836556345,0.4891361564233172,0.25425710928486356,30,0.4916387959866221,82.02313929407586,0.33225135267304995
46,leak_free_random,0.793344969566774,0.1848464395967082,0.7861050576956695,0.169593386559534,30,0.4916387959866221,82.02313929407586,0.33225135267304995
46,norm_leak_grouped,0.6359425349087003,0.27726672437960276,0.6074052873106461,0.23252378830006531,30,0.4916387959866221,82.02313929407586,0.33225135267304995
46,explicit_leak_grouped,0.8514142499104904,0.17318498471010482,0.8892040912462674,0.13701381507023694,30,0.4916387959866221,82.02313929407586,0.33225135267304995
46,leak_free_temporal,0.963203711785378,0.25635438845123565,0.9737052958300491,0.2557235535542351,30,0.4916387959866221,82.02313929407586,0.33225135267304995
47,leak_free_grouped,0.5573496936589902,0.3138390476816653,0.5134634733864417,0.3193577223717915,30,0.3647711511789182,66.06851090309735,0.4303725472853582
47,leak_free_noskill_grouped,0.41116110714463616,0.23487462374227092,0.47835127649633574,0.30780507831618736,30,0.3647711511789182,66.06851090309735,0.4303725472853582
47,leak_free_random,0.8319109369551863,0.16004825110684376,0.789479967872827,0.20490839639897226,30,0.3647711511789182,66.06851090309735,0.4303725472853582
47,norm_leak_grouped,0.5573496936589902,0.3138390476816653,0.5134634733864417,0.3193577223717915,30,0.3647711511789182,66.06851090309735,0.4303725472853582
47,explicit_leak_grouped,0.7976571969382502,0.17343202087004722,0.8743523850579278,0.14751317254633675,30,0.3647711511789182,66.06851090309735,0.4303725472853582
47,leak_free_temporal,0.9197711055509221,0.22177233645257224,0.9494746769537631,0.24370663085674985,30,0.3647711511789182,66.06851090309735,0.4303725472853582
48,leak_free_grouped,0.7869905385735081,0.2721470294387836,0.7230280222519639,0.2294808063231235,30,0.488272921108742,40.129705927192795,0.730325934208934
48,leak_free_noskill_grouped,0.41471979621542937,0.2542932004612948,0.47753387860374774,0.2579481959929405,30,0.488272921108742,40.129705927192795,0.730325934208934
48,leak_free_random,0.9607532751091703,0.07690930203050553,0.9106922747219521,0.12964637757934627,30,0.488272921108742,40.129705927192795,0.730325934208934
48,norm_leak_grouped,0.7869905385735081,0.2721470294387836,0.7230280222519639,0.2294808063231235,30,0.488272921108742,40.129705927192795,0.730325934208934
48,explicit_leak_grouped,0.9465611353711791,0.11819135861958502,0.9631358471396505,0.06953913146245987,30,0.488272921108742,40.129705927192795,0.730325934208934
48,leak_free_temporal,0.9761836441893831,0.06870787213219473,0.9918860015275361,0.0847971999781552,30,0.488272921108742,40.129705927192795,0.730325934208934
49,leak_free_grouped,0.4369738751814224,0.2981499207312508,0.43188713024113445,0.1692157915166499,30,0.7181571815718157,77.95082661193369,0.3304206656443576
49,leak_free_noskill_grouped,0.4047714078374456,0.2052138099741503,0.4983144477573537,0.12813115367292358,30,0.7181571815718157,77.95082661193369,0.3304206656443576
49,leak_free_random,0.8301523947750364,0.1498121612267173,0.8393009140405762,0.08272156118347798,30,0.7181571815718157,77.95082661193369,0.3304206656443576
49,norm_leak_grouped,0.4369738751814224,0.2981499207312508,0.43188713024113445,0.1692157915166499,30,0.7181571815718157,77.95082661193369,0.3304206656443576
49,explicit_leak_grouped,0.762300435413643,0.24994783739014728,0.8550278852200924,0.12248115042269103,30,0.7181571815718157,77.95082661193369,0.3304206656443576
49,leak_free_temporal,0.953030303030303,0.19473920330162214,0.9771850740413606,0.11262356070421038,30,0.7181571815718157,77.95082661193369,0.3304206656443576
50,leak_free_grouped,0.5862781036168132,0.30599176236123243,0.5981497769238601,0.3200717649307054,30,0.36213991769547327,59.679037720653184,0.4813452537809972
50,leak_free_noskill_grouped,0.39950716845878137,0.23510579307194515,0.43648846625579174,0.30822390533964034,30,0.36213991769547327,59.679037720653184,0.4813452537809972
50,leak_free_random,0.8604920169436298,0.14893710620938122,0.8410075331124224,0.17984444443640937,30,0.36213991769547327,59.679037720653184,0.4813452537809972
50,norm_leak_grouped,0.5862781036168132,0.30599176236123243,0.5981497769238601,0.3200717649307054,30,0.36213991769547327,59.679037720653184,0.4813452537809972
50,explicit_leak_grouped,0.8159131638970349,0.15713550424894115,0.8825553792586533,0.14033212838070583,30,0.36213991769547327,59.679037720653184,0.4813452537809972
50,leak_free_temporal,0.918376476201837,0.20363374856352667,0.9524232777902047,0.22476280886743238,30,0.36213991769547327,59.679037720653184,0.4813452537809972
51,leak_free_grouped,0.6669351099397223,0.2812199709244836,0.7307173170615417,0.22473746725935245,30,0.4539130434782609,71.72519057869133,0.3862408770905995
51,leak_free_noskill_grouped,0.43325524074480803,0.24986126886822643,0.4690810063926423,0.2744101041296427,30,0.4539130434782609,71.72519057869133,0.3862408770905995
51,leak_free_random,0.8284891524513753,0.1699153481603297,0.8549103691307585,0.1396662599774609,30,0.4539130434782609,71.72519057869133,0.3862408770905995
51,norm_leak_grouped,0.6669351099397223,0.2812199709244836,0.7307173170615417,0.22473746725935245,30,0.4539130434782609,71.72519057869133,0.3862408770905995
51,explicit_leak_grouped,0.8451570393147374,0.15923689321251375,0.9129579853234334,0.11044496314077198,30,0.4539130434782609,71.72519057869133,0.3862408770905995
51,leak_free_temporal,0.9104213490402748,0.2677775469885081,0.9401421026558379,0.281273172493053,30,0.4539130434782609,71.72519057869133,0.3862408770905995
52,leak_free_grouped,0.4615888615888616,0.38743168205619294,0.42814719538544166,0.39331151070383774,30,0.3851963746223565,58.662207353505906,0.48820958969378314
52,leak_free_noskill_grouped,0.39335645806234043,0.24163098770637537,0.43581346167611856,0.30149782174422446,30,0.3851963746223565,58.662207353505906,0.48820958969378314
52,leak_free_random,0.8400154164860048,0.16288175788745643,0.7891170652870613,0.20796508212212583,30,0.3851963746223565,58.662207353505906,0.48820958969378314
52,norm_leak_grouped,0.4615888615888616,0.38743168205619294,0.42814719538544166,0.39331151070383774,30,0.3851963746223565,58.662207353505906,0.48820958969378314
52,explicit_leak_grouped,0.8058293587705353,0.1779258455094324,0.8763335048941692,0.1432963548650864,30,0.3851963746223565,58.662207353505906,0.48820958969378314
52,leak_free_temporal,0.8682677616501147,0.22857482038478566,0.9183398694502999,0.2755913863675216,30,0.3851963746223565,58.662207353505906,0.48820958969378314
53,leak_free_grouped,0.3199209039548022,0.40015201504245373,0.3236651905607758,0.2647052124302298,30,0.585480093676815,63.54948531530441,0.4321793366721193
53,leak_free_noskill_grouped,0.3857627118644068,0.24944525304096568,0.4689579768259914,0.2008395778689828,30,0.585480093676815,63.54948531530441,0.4321793366721193
53,leak_free_random,0.8772655367231639,0.13874677477867886,0.8955503721866963,0.08908861006235683,30,0.585480093676815,63.54948531530441,0.4321793366721193
53,norm_leak_grouped,0.3199209039548022,0.40015201504245373,0.3236651905607758,0.2647052124302298,30,0.585480093676815,63.54948531530441,0.4321793366721193
53,explicit_leak_grouped,0.7357062146892656,0.2994090689817805,0.85837185577716,0.14773668435718398,30,0.585480093676815,63.54948531530441,0.4321793366721193
53,leak_free_temporal,0.9106836898247941,0.22167331143802974,0.950707283384977,0.17506569653397047,30,0.585480093676815,63.54948531530441,0.4321793366721193
54,leak_free_grouped,0.5449295409354198,0.37272119068588455,0.558649958263196,0.2794656057621986,30,0.5557851239669421,68.3708709145063,0.4016985527339545
54,leak_free_noskill_grouped,0.43278291691882076,0.2489518690110374,0.5011808332962111,0.21942366839036945,30,0.5557851239669421,68.3708709145063,0.4016985527339545
54,leak_free_random,0.8405809630846374,0.1630951449912404,0.8396834971824727,0.13094791699370845,30,0.5557851239669421,68.3708709145063,0.4016985527339545
54,norm_leak_grouped,0.5449295409354198,0.37272119068588455,0.558649958263196,0.2794656057621986,30,0.5557851239669421,68.3708709145063,0.4016985527339545
54,explicit_leak_grouped,0.7883980288752486,0.21955977958364564,0.8814872562125697,0.13392375664026104,30,0.5557851239669421,68.3708709145063,0.4016985527339545
54,leak_free_temporal,0.9501961726319161,0.21214065427028114,0.9730631868160001,0.19231746773756078,30,0.5557851239669421,68.3708709145063,0.4016985527339545
55,leak_free_grouped,0.504022355830299,0.3479082477468724,0.4859810674426637,0.28225339573520697,30,0.5495327102803739,77.2483976412101,0.35202237621631777
55,leak_free_noskill_grouped,0.4592260140570751,0.24855664250152854,0.47615754370792895,0.22585915500642129,30,0.5495327102803739,77.2483976412101,0.35202237621631777
55,leak_free_random,0.817399158833658,0.17339339283377164,0.8243839729468576,0.14015966345353795,30,0.5495327102803739,77.2483976412101,0.35202237621631777
55,norm_leak_grouped,0.504022355830299,0.3479082477468724,0.4859810674426637,0.28225339573520697,30,0.5495327102803739,77.2483976412101,0.35202237621631777
55,explicit_leak_grouped,0.7869562762864482,0.23318157289912642,0.8520817990933324,0.1617301732792105,30,0.5495327102803739,77.2483976412101,0.35202237621631777
55,leak_free_temporal,0.9236593843098312,0.25161346835165094,0.9555607392180336,0.2341741469789862,30,0.5495327102803739,77.2483976412101,0.35202237621631777
56,leak_free_grouped,0.48290224167661494,0.3523802902657386,0.4768361160225704,0.3465625867875251,30,0.46735905044510384,92.6873093777685,0.2921627988387085
56,leak_free_noskill_grouped,0.44990051730998804,0.25029428479537674,0.5173504052212055,0.2613015136963418,30,0.46735905044510384,92.6873093777685,0.2921627988387085
56,leak_free_random,0.7327850731750452,0.21116506521509196,0.6774544059699287,0.23891645200329234,30,0.46735905044510384,92.6873093777685,0.2921627988387085
56,norm_leak_grouped,0.48290224167661494,0.3523802902657386,0.4768361160225704,0.3465625867875251,30,0.46735905044510384,92.6873093777685,0.2921627988387085
56,explicit_leak_grouped,0.7738073130830792,0.18704406965120596,0.8529227368567939,0.15394490850164866,30,0.46735905044510384,92.6873093777685,0.2921627988387085
56,leak_free_temporal,0.9092174881648566,0.28092503255666385,0.9424390529784756,0.28460801502655586,30,0.46735905044510384,92.6873093777685,0.2921627988387085
57,leak_free_grouped,0.6354024037730108,0.281999487700147,0.652726617422588,0.2484323367228199,30,0.4843492586490939,59.659842885383604,0.4770024929296994
57,leak_free_noskill_grouped,0.44583903849079565,0.2512439725938933,0.4719626610204659,0.25779147918086076,30,0.4843492586490939,59.659842885383604,0.4770024929296994
57,leak_free_random,0.8534154876007911,0.15852933171246245,0.8519093290422843,0.14721217788495236,30,0.4843492586490939,59.659842885383604,0.4770024929296994
57,norm_leak_grouped,0.6354024037730108,0.281999487700147,0.652726617422588,0.2484323367228199,30,0.4843492586490939,59.659842885383604,0.4770024929296994
57,explicit_leak_grouped,0.8413096868140227,0.1566550941300817,0.8980339740608719,0.126701058999211,30,0.4843492586490939,59.659842885383604,0.4770024929296994
57,leak_free_temporal,0.8772499430394167,0.24467032357503016,0.9333365946856256,0.22017369705045658,30,0.4843492586490939,59.659842885383604,0.4770024929296994
58,leak_free_grouped,0.6200494405412438,0.3062412166627884,0.5564784534086508,0.24244632074088474,30,0.547576301615799,64.99816462636142,0.43089977654447464
58,leak_free_noskill_grouped,0.4335740307051782,0.25010317469659654,0.49184334583895367,0.228594299702089,30,0.547576301615799,64.99816462636142,0.43089977654447464
58,leak_free_random,0.8270882123341139,0.16802844334386652,0.8027281457865258,0.15611607685182446,30,0.547576301615799,64.99816462636142,0.43089977654447464
58,norm_leak_grouped,0.6200494405412438,0.3062412166627884,0.5564784534086508,0.24244632074088474,30,0.547576301615799,64.99816462636142,0.43089977654447464
58,explicit_leak_grouped,0.8355581576893052,0.1996287227129938,0.8702919744369702,0.14799215435782306,30,0.547576301615799,64.99816462636142,0.43089977654447464
58,leak_free_temporal,0.9347172619047619,0.22881221142939895,0.9704580542639144,0.19817013051949237,30,0.547576301615799,64.99816462636142,0.43089977654447464
59,leak_free_grouped,0.5812783586506214,0.2989175350045454,0.5277958358942658,0.24020127620031453,30,0.5969498910675382,71.1427724477431,0.381245797885303
59,leak_free_noskill_grouped,0.39505819688301436,0.2465330459113596,0.4458639733863553,0.2024974018494022,30,0.5969498910675382,71.1427724477431,0.381245797885303
59,leak_free_random,0.8097060564213849,0.17670897499807703,0.7947578191100457,0.15322119820175914,30,0.5969498910675382,71.1427724477431,0.381245797885303
59,norm_leak_grouped,0.5812783586506214,0.2989175350045454,0.5277958358942658,0.24020127620031453,30,0.5969498910675382,71.1427724477431,0.381245797885303
59,explicit_leak_grouped,0.8358847898993885,0.18815062743586614,0.8946872706901416,0.11288009466830869,30,0.5969498910675382,71.1427724477431,0.381245797885303
59,leak_free_temporal,0.9359938307306729,0.252516255612636,0.9638170852857895,0.24499359533653048,30,0.5969498910675382,71.1427724477431,0.381245797885303
60,leak_free_grouped,0.6608458247555327,0.26534845243795624,0.6530386484925801,0.2685190712937659,30,0.366120218579235,60.98960210179221,0.47017289901281867
60,leak_free_noskill_grouped,0.40392997297992794,0.2357023134780741,0.4592442479232272,0.3032555496831637,30,0.366120218579235,60.98960210179221,0.47017289901281867
60,leak_free_random,0.8777100488934637,0.13719209844624608,0.8567407349224511,0.1605437259682191,30,0.366120218579235,60.98960210179221,0.47017289901281867
60,norm_leak_grouped,0.6608458247555327,0.26534845243795624,0.6530386484925801,0.2685190712937659,30,0.366120218579235,60.98960210179221,0.47017289901281867
60,explicit_leak_grouped,0.8468741958311888,0.16723810088722724,0.8927520509270201,0.1403666995559078,30,0.366120218579235,60.98960210179221,0.47017289901281867
60,leak_free_temporal,0.9335508935508935,0.18738311192048449,0.9566879805650907,0.2177188348794857,30,0.366120218579235,60.98960210179221,0.47017289901281867
61,leak_free_grouped,0.44550843593251255,0.36909846251124817,0.39408748369472796,0.3093249435363386,30,0.5425531914893617,82.6357150458038,0.32725483578120906
61,leak_free_noskill_grouped,0.4607273141814865,0.24911392367945054,0.4679443320788243,0.231361182433238,30,0.5425531914893617,82.6357150458038,0.32725483578120906
61,leak_free_random,0.7989562750164666,0.18249419731540678,0.7687906692341658,0.18019698804199635,30,0.5425531914893617,82.6357150458038,0.32725483578120906
61,norm_leak_grouped,0.44550843593251255,0.36909846251124817,0.39408748369472796,0.3093249435363386,30,0.5425531914893617,82.6357150458038,0.32725483578120906
61,explicit_leak_grouped,0.76864518417186,0.2485586060670961,0.8252022774902887,0.18219295323139625,30,0.5425531914893617,82.6357150458038,0.32725483578120906
61,leak_free_temporal,0.9020422989990313,0.2810840109988459,0.9377741103619684,0.257000614629006,30,0.5425531914893617,82.6357150458038,0.32725483578120906
62,leak_free_grouped,0.6044334975369458,0.29648248580039815,0.597908226690829,0.28659438784796,30,0.3855932203389831,74.045213916341,0.3788374054946833
62,leak_free_noskill_grouped,0.4596101216790872,0.23784890221009716,0.46950201331494035,0.2925886105617536,30,0.3855932203389831,74.045213916341,0.3788374054946833
62,leak_free_random,0.8222306429202979,0.1668786088671837,0.7581485514754431,0.23443457488762662,30,0.3855932203389831,74.045213916341,0.3788374054946833
62,norm_leak_grouped,0.6044334975369458,0.29648248580039815,0.597908226690829,0.28659438784796,30,0.3855932203389831,74.045213916341,0.3788374054946833
62,explicit_leak_grouped,0.8255652393583428,0.17447549742143165,0.8957598886597314,0.13397864868907056,30,0.3855932203389831,74.045213916341,0.3788374054946833
62,leak_free_temporal,0.8921367188085847,0.23801429693781365,0.9262173602416421,0.26351528182826656,30,0.3855932203389831,74.045213916341,0.3788374054946833
63,leak_free_grouped,0.6667718855218855,0.30017900249905516,0.659681165587362,0.22801155154928168,30,0.4883720930232558,54.409358332689656,0.5236828802760835
63,leak_free_noskill_grouped,0.4261138167388167,0.25285473695130045,0.46669048941592917,0.2573246452945052,30,0.4883720930232558,54.409358332689656,0.5236828802760835
63,leak_free_random,0.8875060125060126,0.13315686950869815,0.8718373128408633,0.12140450176499873,30,0.4883720930232558,54.409358332689656,0.5236828802760835
63,norm_leak_grouped,0.6667718855218855,0.30017900249905516,0.659681165587362,0.22801155154928168,30,0.4883720930232558,54.409358332689656,0.5236828802760835
63,explicit_leak_grouped,0.8582852332852333,0.20210228532012892,0.8957668702720428,0.13872319751290155,30,0.4883720930232558,54.409358332689656,0.5236828802760835
63,leak_free_temporal,0.9643620321224237,0.18390068624047334,0.9746693865955589,0.20077574510387483,30,0.4883720930232558,54.409358332689656,0.5236828802760835
64,leak_free_grouped,0.5831639566395664,0.33721992008763707,0.5346331388431955,0.3065336241116365,30,0.45054945054945056,53.9948661319131,0.529771655949838
64,leak_free_noskill_grouped,0.45728997289972906,0.2486095007480692,0.4898702400135161,0.2779890544064184,30,0.45054945054945056,53.9948661319131,0.529771655949838
64,leak_free_random,0.8535094850948508,0.15560993315372088,0.8072947572582205,0.1866703050563682,30,0.45054945054945056,53.9948661319131,0.529771655949838
64,norm_leak_grouped,0.5831639566395664,0.33721992008763707,0.5346331388431955,0.3065336241116365,30,0.45054945054945056,53.9948661319131,0.529771655949838
64,explicit_leak_grouped,0.86579945799458,0.18759784442525154,0.9209672812061171,0.11921212689066579,30,0.45054945054945056,53.9948661319131,0.529771655949838
64,leak_free_temporal,0.9290117175006543,0.20518856529678267,0.953408675094796,0.2461120529031588,30,0.45054945054945056,53.9948661319131,0.529771655949838
65,leak_free_grouped,0.37275900941852436,0.42986383318740495,0.41539137582022745,0.28252142933362634,30,0.5456475583864119,58.62497902888053,0.47851142942366737
65,leak_free_noskill_grouped,0.3824957271173497,0.2544539792185306,0.4561051967999834,0.22835118507019977,30,0.5456475583864119,58.62497902888053,0.47851142942366737
65,leak_free_random,0.8726317320629842,0.14595868694161418,0.8684556728919615,0.11699602004398271,30,0.5456475583864119,58.62497902888053,0.47851142942366737
65,norm_leak_grouped,0.37275900941852436,0.42986383318740495,0.41539137582022745,0.28252142933362634,30,0.5456475583864119,58.62497902888053,0.47851142942366737
65,explicit_leak_grouped,0.7693188843230663,0.28843124530692194,0.8713649126358546,0.15312004674227117,30,0.5456475583864119,58.62497902888053,0.47851142942366737
65,leak_free_temporal,0.9025324675324675,0.22264625758360818,0.9608036781889693,0.17749926927762494,30,0.5456475583864119,58.62497902888053,0.47851142942366737
66,leak_free_grouped,0.5942705399533275,0.33598715320097483,0.6202047738253735,0.2337244885590551,30,0.5283363802559415,61.699786742177814,0.45641250071860584
66,leak_free_noskill_grouped,0.43923848609211125,0.25109802638178413,0.4639629346113981,0.2366265078379151,30,0.5283363802559415,61.699786742177814,0.45641250071860584
66,leak_free_random,0.8381883533167029,0.167043749287206,0.8626962334750743,0.12726850641493778,30,0.5283363802559415,61.699786742177814,0.45641250071860584
66,norm_leak_grouped,0.5942705399533275,0.33598715320097483,0.6202047738253735,0.2337244885590551,30,0.5283363802559415,61.699786742177814,0.45641250071860584
66,explicit_leak_grouped,0.8093532898795633,0.21858322895078314,0.8775216835869479,0.1474971505147741,30,0.5283363802559415,61.699786742177814,0.45641250071860584
66,leak_free_temporal,0.8962734216493615,0.23123638067742827,0.9513879134704725,0.177838486914692,30,0.5283363802559415,61.699786742177814,0.45641250071860584
67,leak_free_grouped,0.5008798592225243,0.32457513813431815,0.5096886651787927,0.33036617560913245,30,0.41409691629955947,79.5428681239574,0.34845259133025
